"Evidence ID","References","MPN(s)","Category","Exact Source","Source Owner","Required Artifact","Format","Access Method","Authentication","Expected Acquisition","Acceptance Criteria","Status"
"EXT-001","U201","LMR38020FSQDDARQ1","MANUFACTURER TOOL EXPORT","TI WEBENCH Power Designer / LMR38020-Q1","Texas Instruments","Complete exact-input design export","PDF; CSV/XLSX; images","Interactive web tool","TI account may be required","Before PACS-01R-B1R-X reissue","Exact MPN/inputs; numerical report; timestamp; SHA-256","OPEN - INTERACTIVE TOOL UNAVAILABLE"
"EXT-002","U203","TPS62135RGXR","MANUFACTURER TOOL EXPORT","TI WEBENCH Power Designer or current TPS62135 utility","Texas Instruments","Complete exact-input design export","PDF; CSV/XLSX; images","Interactive web tool","TI account may be required","Before PACS-01R-B1R-X reissue","Exact MPN/inputs; numerical report; timestamp; SHA-256","OPEN - INTERACTIVE TOOL UNAVAILABLE"
"EXT-003","Q101","IAUC100N08S5N034ATMA1","PACKAGE THERMAL MODEL","Infineon product support","Infineon","Hot-board SOA/Zth or application support response","PDF or supplier correspondence","Manufacturer support portal","Account/support case","Before reissue","2 A/100 ms from 75 C start correlated to board/case","OPEN - PUBLISHED 25 C CASE DATA INSUFFICIENT"
"EXT-004","U101","TPS26631PWPR","MANUFACTURER THERMAL DOCUMENT","TI product/support","Texas Instruments","PWP board/pulse/retry thermal correlation","PDF or support response","TI product page/support case","Account may be required","Before reissue","4 A/10 ms and 2 A/100 ms hot correlation with exact settings","OPEN - SUPPORT INPUT REQUIRED"
"EXT-005","U209/U212/U213","TPS2553QDBVRQ1","PACKAGE THERMAL MODEL","TI product/support","Texas Instruments","Transient Zth/retry thermal evidence","PDF or support response","TI support case","Account may be required","Before reissue","0.734/1.112 W hot fault duration/repetition disposition","OPEN - DATASHEET LACKS APPLICABLE ZTH"
"EXT-006","U201/U203","LMR38020FSQDDARQ1; TPS62135RGXR","EVALUATION-MODULE EVIDENCE","TI EVM/reference-design pages","Texas Instruments","EVM layout/BOM/thermal artifacts","PDF; Gerber/viewer export if redistributable","Public download or TI account","Varies","Before reissue","Exact package copper/via context and applicable operating comparison","OPEN - MANUAL DOWNLOAD/REVIEW"
"EXT-007","All 20","13 unique MPNs","MANUFACTURER THERMAL DOCUMENT","Official manufacturer datasheets/package pages","TI; Infineon","Controlled revision/date and thermal metric extracts with board context","PDF manifests/checksums","Public product pages","None or click-through terms","Before reissue","Every thermal metric carries package and JEDEC/reference-board context","PARTIAL - PUBLIC DATA IDENTIFIED; CONTROLLED FILE SET INCOMPLETE"
"EXT-008","All 20","13 unique MPNs","AUTHORIZED DISTRIBUTOR RECORD","DigiKey product records","DigiKey","Current SKU/stock/MOQ/packaging/prices/lead time","CSV/PDF/screenshot plus transcription","Public/authenticated distributor pages","Some regional/account fields","Within 30 days of procurement","Exact MPN; dated; source URL; required price breaks or explicit N/A","PARTIAL - U101 DETAILED; OTHERS INCOMPLETE"
"EXT-009","All 20","13 unique MPNs","AUTHORIZED DISTRIBUTOR RECORD","Mouser product records","Mouser","Second-source SKU/stock/MOQ/packaging/prices/lead time","CSV/PDF/screenshot plus transcription","Public/authenticated distributor pages","Regional/account context may apply","Within 30 days of procurement","Exact MPN and manufacturer-authorized channel evidence","OPEN - AUTHENTICATED RECORDS NOT CAPTURED"
"EXT-010","All 20","13 unique MPNs","FORMAL COMMERCIAL QUOTE","DigiKey/Mouser/Arrow/Avnet/Newark/manufacturer direct","Authorized suppliers","Planning quote for 1/10/100/1000","PDF/CSV or redacted summary plus secure reference","Supplier RFQ","Account and company details required","Before prototype PO","Quote number/date/expiry/MOQ/lead/packaging/no substitution","OPEN - HUMAN RFQ REQUIRED"
"EXT-011","All 20","13 unique MPNs","ALTERNATE-PART EVIDENCE","Manufacturer comparison tools and datasheets","TI; Infineon; alternate manufacturers","Per-MPN alternate evidence or no-alternate search record","Markdown/PDF manifests","Public tools/support","Varies","Before freeze","Pin/package/electrical/thermal comparison and ECO impact","PARTIAL - CLASSIFICATION EXISTS; PRIMARY EVIDENCE INCOMPLETE"
