"Reference(s)","MPN","Current Status","Primary Blocker","Evidence Needed","Blocker Classes","No-Change Closure Initially","Estimated Closure Package","Expected Disposition"
"Q101","IAUC100N08S5N034ATMA1","BLOCKED","Hot linear SOA/copper/timing","SOA overlay; Zth; hot gate point; copper model; pulse test; sourcing/lifecycle","Analytical; Thermal; Prototype; Qualification; Sourcing; Lifecycle","Yes","PACS-01R-B then PACS-01R-C","FROZEN or narrow ECO"
"U101","TPS26631PWPR","BLOCKED","Coordinated eFuse/pass-FET/support evidence","Tolerance; surge; loss; PWP thermal; waveforms; sourcing/alternate","Documentation; Analytical; Thermal; Prototype; Sourcing; Lifecycle; Qualification","Yes","PACS-01R-B then PACS-01R-C","FROZEN"
"U102","TPS259470LRPWR","BLOCKED","ILIM/inrush/thermal evidence","Suffix proof; current-limit stack; inrush; hot loss; latch/reverse test; sourcing","Documentation; Analytical; Thermal; Prototype; Sourcing; Lifecycle","Yes","PACS-01R-B then PACS-01R-C","FROZEN"
"U201","LMR38020FSQDDARQ1","BLOCKED","Tool/stability/magnetics/thermal evidence","TI tool report; ripple/stability/loss; DDA copper; transient bench; sourcing","Analytical; Thermal; Prototype; Sourcing; Lifecycle","Yes","PACS-01R-B then PACS-01R-C","FROZEN"
"U202","TPS2121RUXR","BLOCKED","Transition/reverse/thermal evidence","Mode proof; connect-order model/test; hot RON; sourcing","Analytical; Thermal; Prototype; Sourcing; Lifecycle","Yes","PACS-01R-B then PACS-01R-C","FROZEN"
"U203","TPS62135RGXR","BLOCKED","Stability/effective-C/thermal evidence","Tool solution; ripple/loss; RGX copper; startup/load-step; sourcing","Analytical; Thermal; Prototype; Sourcing; Lifecycle","Yes","PACS-01R-B then PACS-01R-C","FROZEN"
"U204","SN74LVC1G08QDCKRQ1","BLOCKED","Controlled logic/commercial record","Pins; Ioff; thresholds; leakage; thermal; lifecycle/prices/alternate","Documentation; Analytical; Thermal; Sourcing; Lifecycle","Yes","PACS-01R-B","FROZEN"
"U205","SN74LVC08AQPWRQ1","BLOCKED","Controlled logic/commercial record","Unit pins; unused inputs; Ioff; drive; thermal; lifecycle/prices/alternate","Documentation; Analytical; Thermal; Sourcing; Lifecycle","Yes","PACS-01R-B","FROZEN"
"U206/U207/U208/U210/U211","TPS22918TDBVRQ1","BLOCKED","Environment/rise/QOD evidence","Branch inrush; rise/QOD; reverse; hot RON; bench; sourcing","Analytical; Thermal; Prototype; Sourcing; Lifecycle","Yes","PACS-01R-B then PACS-01R-C","FROZEN"
"U209/U212/U213","TPS2553QDBVRQ1","BLOCKED","Fault/hot/output-C/commercial evidence","QER-02 audit; retry; reverse; inrush; hot loss; sourcing/alternate","Documentation; Analytical; Thermal; Prototype; Sourcing; Lifecycle","Yes","PACS-01R-B then PACS-01R-C","FROZEN"
"U302","TPS389030QDSERQ1","BLOCKED","Exact C305/prototype/commercial evidence","Pin/timing stack; C305 MPN; 76-149 ms test; lifecycle/alternate","Documentation; Analytical; Prototype; Sourcing; Lifecycle; Qualification","Yes","PACS-01R-B then PACS-01R-C","FROZEN with C305"
"U706/U707","TCA9517ADGKR","BLOCKED","Temperature/stuck-bus/partial-power evidence","Mapping; timing; offset; Ioff; thermal; fault injection; sourcing","Documentation; Analytical; Thermal; Prototype; Sourcing; Lifecycle; Qualification","Yes","PACS-01R-B then PACS-01R-C","FROZEN"
"U801","TPS3899DL01DSER","BLOCKED","17 mV corner/passive/prototype evidence","Threshold/leakage stack; delay; backfeed; corner sweep; sourcing/alternate","Documentation; Analytical; Prototype; Sourcing; Lifecycle; Qualification","Yes","PACS-01R-B then PACS-01R-C","FROZEN or narrow ECO"
