"Reference","Sheet","Function / Current Schematic Value","Preferred MPN","Package","Original PACS-01 Disposition","ECO-010 Effect","Final Disposition","Blocking Evidence"
"Q101","01_Power_Entry","External reverse-block N-FET","IAUC100N08S5N034ATMA1","PG-TDSON-8 / SSO8 5x6","BLOCKED","Retained; no regression","BLOCKED","Hot linear SOA, copper and protection timing"
"U101","01_Power_Entry","TPS26631PWPR 60 V eFuse","TPS26631PWPR","HTSSOP-20 PWP","BLOCKED","TPS26630/PWP incompatibility replaced in place","BLOCKED","Integrated/external path thermal, support passive and protection coordination"
"U102","01_Power_Entry","USB eFuse","TPS259470LRPWR","VQFN-HR-10 RPW","BLOCKED","Retained; no regression","BLOCKED","Thermal, ILIM and commercial evidence"
"U201","02_Power_Conversion","5 V / 2 A 400 kHz buck","LMR38020FSQDDARQ1","HSOIC-8 PowerPAD DDA","BLOCKED","Retained; no regression","BLOCKED","Official tool, effective capacitance, magnetics and thermal closure"
"U202","02_Power_Conversion","Main/USB source selector","TPS2121RUXR","VQFN-HR-12 RUX","BLOCKED","Retained; no regression","BLOCKED","Source transition, inrush and thermal correlation"
"U203","02_Power_Conversion","3.3 V / 1.5 A core buck","TPS62135RGXR","VQFN-HR-11 RGX","BLOCKED","Retained; no regression","BLOCKED","Stability, effective capacitance, soft-start and thermal closure"
"U204","02_Power_Conversion","Single AND main qualification","SN74LVC1G08QDCKRQ1","SC70-5 DCK","BLOCKED","Retained; no regression","BLOCKED","Complete sourcing and alternate evidence"
"U205","02_Power_Conversion","Quad AND branch qualification","SN74LVC08AQPWRQ1","TSSOP-14 PW","BLOCKED","Retained; no regression","BLOCKED","Complete sourcing and alternate evidence"
"U206","02_Power_Conversion","OLED load switch","TPS22918TDBVRQ1","SOT-23-6 DBV","BLOCKED","Retained; no regression","BLOCKED","Environmental thermal and sourcing evidence"
"U207","02_Power_Conversion","Sensor load switch","TPS22918TDBVRQ1","SOT-23-6 DBV","BLOCKED","Retained; no regression","BLOCKED","Environmental thermal and sourcing evidence"
"U208","02_Power_Conversion","UI load switch","TPS22918TDBVRQ1","SOT-23-6 DBV","BLOCKED","Retained; no regression","BLOCKED","Environmental thermal and sourcing evidence"
"U209","02_Power_Conversion","Expansion current-limited switch; 141 kΩ","TPS2553QDBVRQ1","SOT-23-6 DBV","BLOCKED","Retained; no regression","BLOCKED","Thermal, retry, reverse-current and sourcing evidence"
"U210","02_Power_Conversion","Relay-logic load switch","TPS22918TDBVRQ1","SOT-23-6 DBV","BLOCKED","Retained; no regression","BLOCKED","Environmental thermal and sourcing evidence"
"U211","02_Power_Conversion","Field-sense load switch","TPS22918TDBVRQ1","SOT-23-6 DBV","BLOCKED","Retained; no regression","BLOCKED","Environmental thermal and sourcing evidence"
"U212","02_Power_Conversion","Motor-logic current-limited switch; 141 kΩ","TPS2553QDBVRQ1","SOT-23-6 DBV","BLOCKED","Retained; no regression","BLOCKED","Thermal, retry, reverse-current and sourcing evidence"
"U213","02_Power_Conversion","Motor-logic current-limited switch; 141 kΩ","TPS2553QDBVRQ1","SOT-23-6 DBV","BLOCKED","Retained; no regression","BLOCKED","Thermal, retry, reverse-current and sourcing evidence"
"U302","03_ESP32_Core","2.89 V reset supervisor; 99.642 ms nominal","TPS389030QDSERQ1","WSON-6 DSE","BLOCKED","Retained; ECO-009R timing preserved","BLOCKED","Exact passive, prototype and alternate evidence"
"U706","07_UI_Peripherals","OLED I²C boundary","TCA9517ADGKR","VSSOP-8 DGK","BLOCKED","Retained; no regression","BLOCKED","Temperature, partial-power and stuck-bus evidence"
"U707","07_UI_Peripherals","Sensor I²C boundary","TCA9517ADGKR","VSSOP-8 DGK","BLOCKED","Retained; no regression","BLOCKED","Temperature, partial-power and stuck-bus evidence"
"U801","08_Expansion","TPS3899 adjustable expansion supervisor","TPS3899DL01DSER","WSON-6 DSE","BLOCKED","Unavailable TLV841 implementation replaced in place","BLOCKED","17 mV assertion margin, exact passive/leakage and prototype evidence"
