"MPN","References","Preferred Distributor","Preferred SKU","Preferred Observation","Alternate Distributor","Alternate SKU","Alternate Observation","MOQ","Packaging","Price Breaks USD","Lead Time","Alternate Disposition","Access Date","Confidence","Refresh"
"IAUC100N08S5N034ATMA1","Q101","DigiKey","UNVERIFIED","Manufacturer orderable snapshot","Mouser","UNVERIFIED","No authenticated quote captured","UNVERIFIED","Tape and reel","Q1 2.50 historical; Q10/Q100/Q1000 unavailable","UNVERIFIED","FUNCTIONAL ALTERNATE - ECO REQUIRED","2026-08-01","LOW","Before prototype PO"
"TPS26631PWPR","U101","DigiKey","296-TPS26631PWPRCT-ND","2882 observed","Mouser","UNVERIFIED","No authenticated quote captured","1 cut tape","Cut tape / tape and reel","Q1 4.52; Q10 3.431; Q100 2.8573; Q1000 unavailable","9 weeks standard","NO APPROVED ALTERNATE","2026-08-01","MEDIUM single-source snapshot","Before prototype PO"
"TPS259470LRPWR","U102","DigiKey","UNVERIFIED","Historical candidate snapshot","Mouser","UNVERIFIED","No authenticated quote captured","UNVERIFIED","Tape and reel","Q1 1.53 historical; volume unavailable","UNVERIFIED","FUNCTIONAL ALTERNATE - ECO REQUIRED","2026-08-01","LOW","Before prototype PO"
"LMR38020FSQDDARQ1","U201","DigiKey","UNVERIFIED","Historical candidate snapshot","Mouser","UNVERIFIED","No authenticated quote captured","UNVERIFIED","Tape and reel","Q1 4.56 historical; volume unavailable","UNVERIFIED","FUNCTIONAL ALTERNATE - ECO REQUIRED","2026-08-01","LOW","Before prototype PO"
"TPS2121RUXR","U202","DigiKey","UNVERIFIED","Historical candidate snapshot","Mouser","UNVERIFIED","No authenticated quote captured","UNVERIFIED","Tape and reel","Q1 2.44 historical; volume unavailable","UNVERIFIED","CANDIDATE ONLY","2026-08-01","LOW","Before prototype PO"
"TPS62135RGXR","U203","DigiKey","UNVERIFIED","Historical candidate snapshot","Mouser","UNVERIFIED","No authenticated quote captured","UNVERIFIED","Tape and reel","Q1 2.32 historical; volume unavailable","UNVERIFIED","FUNCTIONAL ALTERNATE - ECO REQUIRED","2026-08-01","LOW","Before prototype PO"
"SN74LVC1G08QDCKRQ1","U204","DigiKey","UNVERIFIED","Historical candidate snapshot","Mouser","UNVERIFIED","No authenticated quote captured","UNVERIFIED","Tape and reel","Q1 0.45 historical; volume unavailable","UNVERIFIED","ELECTRICALLY APPROVED - FOOTPRINT MAY DIFFER","2026-08-01","LOW","Before prototype PO"
"SN74LVC08AQPWRQ1","U205","DigiKey","UNVERIFIED","Historical candidate snapshot","Mouser","UNVERIFIED","No authenticated quote captured","UNVERIFIED","Tape and reel","Q1 0.65 historical; volume unavailable","UNVERIFIED","ELECTRICALLY APPROVED - FOOTPRINT MAY DIFFER","2026-08-01","LOW","Before prototype PO"
"TPS22918TDBVRQ1","U206/U207/U208/U210/U211","DigiKey","UNVERIFIED","Historical candidate snapshot","Mouser","UNVERIFIED","No authenticated quote captured","UNVERIFIED","Tape and reel","Q1 0.75 historical; volume unavailable","UNVERIFIED","FUNCTIONAL ALTERNATE - ECO REQUIRED","2026-08-01","LOW","Before prototype PO"
"TPS2553QDBVRQ1","U209/U212/U213","DigiKey","296-40729-1-ND","Stock observations volatile","Mouser","UNVERIFIED","No authenticated quote captured","1 cut tape assumed; verify","Cut tape / tape and reel","Q1 1.60 historical; volume unavailable","UNVERIFIED","FUNCTIONAL ALTERNATE - ECO REQUIRED","2026-08-01","LOW","Before prototype PO"
"TPS389030QDSERQ1","U302","DigiKey","UNVERIFIED","Historical candidate snapshot","Mouser","UNVERIFIED","No authenticated quote captured","UNVERIFIED","Tape and reel","Q1 1.50 historical; volume unavailable","UNVERIFIED","NO APPROVED ALTERNATE","2026-08-01","LOW","Before prototype PO"
"TCA9517ADGKR","U706/U707","DigiKey","UNVERIFIED","Historical candidate snapshot","Mouser","UNVERIFIED","No authenticated quote captured","UNVERIFIED","Tape and reel","Q1 1.80 historical; volume unavailable","UNVERIFIED","FUNCTIONAL ALTERNATE - ECO REQUIRED","2026-08-01","LOW","Before prototype PO"
"TPS3899DL01DSER","U801","DigiKey","UNVERIFIED","Manufacturer orderable snapshot","Mouser","UNVERIFIED","No authenticated quote captured","UNVERIFIED","Tape and reel","All breaks unavailable","UNVERIFIED","NO APPROVED ALTERNATE","2026-08-01","LOW","Before prototype PO"
