"Reference","Manufacturer","Preferred MPN","Package family","Functional alternate","Budgetary unit cost USD","Review status"
"Q101","Infineon","IAUC100N08S5N034ATMA1","PG-TDSON-8 / SSO8 5x6","BUK7J2R4-80M","2.50","CANDIDATE"
"U101","UNRESOLVED - PACS-01 BLOCKED","UNRESOLVED - CAPTURED TPS26630PWPR IS NOT ORDERABLE","Captured 20-pin PWP conflicts with TPS26630 24-pin RGE","TPS26633PWPR requires controlled variant review","","BLOCKED"
"U102","Texas Instruments","TPS259470LRPWR","VQFN-HR-10 RPW","TPS259470ARPWR (functional, auto-retry)","1.53","CANDIDATE"
"U201","Texas Instruments","LMR38020FSQDDARQ1","HSOIC-8 PowerPAD DDA","LMR38020SQDDARQ1 (functional, PFM)","4.56","CANDIDATE"
"U202","Texas Instruments","TPS2121RUXR","VQFN-HR-12 RUX","TPS2121RUXT (same die, small reel)","2.44","CANDIDATE"
"U203","Texas Instruments","TPS62135RGXR","VQFN-HR-11 RGX","TPS621351RGXR (functional, no output discharge)","2.32","CANDIDATE"
"U204","Texas Instruments","SN74LVC1G08QDCKRQ1","SC70-5 DCK","SN74LVC1G08QDRYRQ1 (functional, different package)","0.45","CANDIDATE"
"U205","Texas Instruments","SN74LVC08AQPWRQ1","TSSOP-14 PW","SN74LVC08AQBQARQ1 (functional, different package)","0.65","CANDIDATE"
"U206","Texas Instruments","TPS22918TDBVRQ1","SOT-23-6 DBV","TPS22995H-Q1 (functional, different pinout)","0.75","CANDIDATE"
"U207","Texas Instruments","TPS22918TDBVRQ1","SOT-23-6 DBV","TPS22995H-Q1 (functional, different pinout)","0.75","CANDIDATE"
"U208","Texas Instruments","TPS22918TDBVRQ1","SOT-23-6 DBV","TPS22995H-Q1 (functional, different pinout)","0.75","CANDIDATE"
"U209","Texas Instruments","TPS2553QDBVRQ1","SOT-23-6 DBV","TPS2551QDBVRQ1 (functional review required)","1.60","CANDIDATE"
"U210","Texas Instruments","TPS22918TDBVRQ1","SOT-23-6 DBV","TPS22995H-Q1 (functional, different pinout)","0.75","CANDIDATE"
"U211","Texas Instruments","TPS22918TDBVRQ1","SOT-23-6 DBV","TPS22995H-Q1 (functional, different pinout)","0.75","CANDIDATE"
"U212","Texas Instruments","TPS2553QDBVRQ1","SOT-23-6 DBV","TPS2551QDBVRQ1 (functional review required)","1.60","CANDIDATE"
"U213","Texas Instruments","TPS2553QDBVRQ1","SOT-23-6 DBV","TPS2551QDBVRQ1 (functional review required)","1.60","CANDIDATE"
"U302","Texas Instruments","TPS389030QDSERQ1","WSON-6 DSE","NONE - threshold/timing/pin exactness required","1.50","CANDIDATE"
"U706","Texas Instruments","TCA9517ADGKR","VSSOP-8 DGK","PCA9517ADGKR (functional review required)","1.80","CANDIDATE"
"U707","Texas Instruments","TCA9517ADGKR","VSSOP-8 DGK","PCA9517ADGKR (functional review required)","1.80","CANDIDATE"
"U801","UNRESOLVED - PACS-01 BLOCKED","NO ACTIVE ORDERABLE TLV841SCPH27YBHR FOUND","Required DSBGA-4 YBH combination not listed as production OPN","Architecture-compatible alternate not demonstrated","","BLOCKED"
