"Reference","Sheet","Function","Current EBOM Status","Prototype Population Status","Reason","Required For First Power-Up","Required For Functional Testing","Required For Safety Testing","Required For USB Programming","Required For Motion Testing","Required For Expansion Testing","Installation Phase"
"C101","01_Power_Entry","100 nF","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"C102","01_Power_Entry","100 nF nominal; >=70 nF effective at 55 V; >=100 V X7R; +/-10%; -40..125 C","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"C103","01_Power_Entry","22 uF nominal; >=20 uF effective; >=63 V low-ESR bulk; >=0.6 A RMS; -40..125 C","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"C104","01_Power_Entry","22 uF nominal; >=20 uF effective; >=63 V low-ESR bulk; >=0.6 A RMS; -40..125 C","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"C105","01_Power_Entry","100 nF","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"C106","01_Power_Entry","1 µF 10 V","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"C107","01_Power_Entry","10 µF 10 V","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"C108","01_Power_Entry","10 nF","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"C109","01_Power_Entry","100 nF nominal; >=70 nF effective at 55 V; >=100 V X7R; +/-10%; -40..125 C","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"D101","01_Power_Entry","SMBJ33A-class TVS (provisional)","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"D102","01_Power_Entry","4.7 V Zener","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"D103","01_Power_Entry","Low-leakage ADC clamp (TBD exact)","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"D104","01_Power_Entry","5 V VBUS TVS/ESD (TBD exact)","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"F101","01_Power_Entry","2 A time-delay (provisional)","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"L101","01_Power_Entry","10 µH, ≥3 A, ≤100 mΩ (TBD exact)","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"Q101","01_Power_Entry",">=80 V N-FET; <=25 mOhm at actual gate drive; +/-20 V VGS; >=2 A hot; SOA >=2 A/100 ms (TBD exact)","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"Q102","01_Power_Entry","2N7002, 60 V","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"R101","01_Power_Entry","634 kΩ 1%","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"R102","01_Power_Entry","100 kΩ 1%","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"R103","01_Power_Entry","1.91 MΩ 1%","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"R104","01_Power_Entry","100 kΩ 1%","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"R105","01_Power_Entry","100 kΩ","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"R106","01_Power_Entry","9.09 kΩ 1%","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"R107","01_Power_Entry","49.9 kΩ 0.1% 25 ppm","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"R108","01_Power_Entry","49.9 kΩ 0.1% 25 ppm","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"R109","01_Power_Entry","10.0 kΩ 0.1% 25 ppm","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"R110","01_Power_Entry","1.00 kΩ 1%","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"R111","01_Power_Entry","100 kΩ","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"R112","01_Power_Entry","402 kΩ 1%","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"R113","01_Power_Entry","100 kΩ 1%","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"R114","01_Power_Entry","6.65 kΩ 1%","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"R115","01_Power_Entry","604 kΩ 1%","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"R116","01_Power_Entry","100 kΩ 1%","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"U101","01_Power_Entry","TPS26631PWPR 60 V eFuse; 20-pin PWP; adjustable OVP; 2x pulse support","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"U102","01_Power_Entry","TPS259470LRPW (provisional)","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage B - power-entry population"
"C201","02_Power_Conversion","2.2 uF nominal; >=1.0 uF effective at 55 V; >=100 V X7R; ripple >=0.2 A","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"C202","02_Power_Conversion","100 nF bootstrap","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"C203","02_Power_Conversion","22 uF nominal; >=15 uF effective at 5.25 V; >=16 V X7R; regulator-stable ESR","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"C204","02_Power_Conversion","22 uF nominal; >=15 uF effective at 5.25 V; >=16 V X7R; regulator-stable ESR","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"C205","02_Power_Conversion","100 nF soft start","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"C206","02_Power_Conversion","47 uF nominal mux transition reservoir; >=30 uF effective at 5.25 V; >=10 V; not system hold-up","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"C207","02_Power_Conversion","10 µF 10 V","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
