"Sheet","Reference","Function","Passive Type","Required Electrical Class","PAS-01 Candidate","Existing Blocker","Dependent Active Device","QER / PPQ Evidence","PAS-01R Evidence Required","Evidence Confidence","Final Disposition","Closure Route"
"01_Power_Entry","C102","100 nF nominal; >=70 nF effective at 55 V; >=100 V X7R; +/-10%; -40..125 C","Capacitor","100 nF nominal; >=70 nF effective at 55 V; >=100 V X7R; +/-10%; -40..125 C","","Dependent active-device equation, manufacturer DC-bias curve, stability tool, hot magnetic model, or timing suffix is not yet closed.","U101 TPS26631PWPR","QER-01; PPQ-01; PPQ-02 capacitor/magnetic/threshold models","Exact DC-bias curve at 55 V after U101/PPC clamp selection","MEDIUM - exact active MPN selected; manufacturer tool/curve or prototype evidence remains","BLOCKED - EXACT TOOL/CURVE EVIDENCE REQUIRED","PACS-01R-A - close named manufacturer tool/curve, thermal, threshold or exact-MPN evidence"
"01_Power_Entry","C103","22 uF nominal; >=20 uF effective; >=63 V low-ESR bulk; >=0.6 A RMS; -40..125 C","Capacitor","22 uF nominal; >=20 uF effective; >=63 V low-ESR bulk; >=0.6 A RMS; -40..125 C","","Dependent active-device equation, manufacturer DC-bias curve, stability tool, hot magnetic model, or timing suffix is not yet closed.","U101 TPS26631PWPR","QER-01; PPQ-01; PPQ-02 capacitor/magnetic/threshold models","Ripple/ESR/lifetime at protected-input waveform","MEDIUM - exact active MPN selected; manufacturer tool/curve or prototype evidence remains","BLOCKED - EXACT TOOL/CURVE EVIDENCE REQUIRED","PACS-01R-A - close named manufacturer tool/curve, thermal, threshold or exact-MPN evidence"
"01_Power_Entry","C104","22 uF nominal; >=20 uF effective; >=63 V low-ESR bulk; >=0.6 A RMS; -40..125 C","Capacitor","22 uF nominal; >=20 uF effective; >=63 V low-ESR bulk; >=0.6 A RMS; -40..125 C","","Dependent active-device equation, manufacturer DC-bias curve, stability tool, hot magnetic model, or timing suffix is not yet closed.","U101 TPS26631PWPR","QER-01; PPQ-01; PPQ-02 capacitor/magnetic/threshold models","Ripple/ESR/lifetime at protected-input waveform","MEDIUM - exact active MPN selected; manufacturer tool/curve or prototype evidence remains","BLOCKED - EXACT TOOL/CURVE EVIDENCE REQUIRED","PACS-01R-A - close named manufacturer tool/curve, thermal, threshold or exact-MPN evidence"
"01_Power_Entry","C109","100 nF nominal; >=70 nF effective at 55 V; >=100 V X7R; +/-10%; -40..125 C","Capacitor","100 nF nominal; >=70 nF effective at 55 V; >=100 V X7R; +/-10%; -40..125 C","","Dependent active-device equation, manufacturer DC-bias curve, stability tool, hot magnetic model, or timing suffix is not yet closed.","U101 TPS26631PWPR","QER-01; PPQ-01; PPQ-02 capacitor/magnetic/threshold models","Exact DC-bias curve at 55 V after U101/PPC clamp selection","MEDIUM - exact active MPN selected; manufacturer tool/curve or prototype evidence remains","BLOCKED - EXACT TOOL/CURVE EVIDENCE REQUIRED","PACS-01R-A - close named manufacturer tool/curve, thermal, threshold or exact-MPN evidence"
"01_Power_Entry","L101","10 µH, ≥3 A, ≤100 mΩ (TBD exact)","Inductor","10 µH, ≥3 A, ≤100 mΩ (TBD exact)","","Dependent active-device equation, manufacturer DC-bias curve, stability tool, hot magnetic model, or timing suffix is not yet closed.","U101 TPS26631PWPR","QER-01; PPQ-01; PPQ-02 capacitor/magnetic/threshold models","Impedance/inductance, hot DCR, saturation and loss at protected-input waveform","MEDIUM - exact active MPN selected; manufacturer tool/curve or prototype evidence remains","BLOCKED - EXACT TOOL/CURVE EVIDENCE REQUIRED","PACS-01R-A - close named manufacturer tool/curve, thermal, threshold or exact-MPN evidence"
"02_Power_Conversion","C201","2.2 uF nominal; >=1.0 uF effective at 55 V; >=100 V X7R; ripple >=0.2 A","Capacitor","2.2 uF nominal; >=1.0 uF effective at 55 V; >=100 V X7R; ripple >=0.2 A","","Dependent active-device equation, manufacturer DC-bias curve, stability tool, hot magnetic model, or timing suffix is not yet closed.","U201 LMR38020FSQDDARQ1","QER-01; PPQ-01; PPQ-02 capacitor/magnetic/threshold models","U201 WEBENCH input-capacitance and ripple solution","MEDIUM - exact active MPN selected; manufacturer tool/curve or prototype evidence remains","BLOCKED - EXACT TOOL/CURVE EVIDENCE REQUIRED","PACS-01R-A - close named manufacturer tool/curve, thermal, threshold or exact-MPN evidence"
"02_Power_Conversion","C202","100 nF bootstrap","Capacitor","100 nF bootstrap","","Dependent active-device equation, manufacturer DC-bias curve, stability tool, hot magnetic model, or timing suffix is not yet closed.","U201 LMR38020FSQDDARQ1","QER-01; PPQ-01; PPQ-02 capacitor/magnetic/threshold models","TI requires 100 nF BOOT-to-SW; exact suffix and dielectric check","MEDIUM - exact active MPN selected; manufacturer tool/curve or prototype evidence remains","BLOCKED - EXACT TOOL/CURVE EVIDENCE REQUIRED","PACS-01R-A - close named manufacturer tool/curve, thermal, threshold or exact-MPN evidence"
"02_Power_Conversion","C203","22 uF nominal; >=15 uF effective at 5.25 V; >=16 V X7R; regulator-stable ESR","Capacitor","22 uF nominal; >=15 uF effective at 5.25 V; >=16 V X7R; regulator-stable ESR","","Dependent active-device equation, manufacturer DC-bias curve, stability tool, hot magnetic model, or timing suffix is not yet closed.","U201 LMR38020FSQDDARQ1","QER-01; PPQ-01; PPQ-02 capacitor/magnetic/threshold models","U201 integrated-compensation output-capacitance/ESR solution","MEDIUM - exact active MPN selected; manufacturer tool/curve or prototype evidence remains","BLOCKED - EXACT TOOL/CURVE EVIDENCE REQUIRED","PACS-01R-A - close named manufacturer tool/curve, thermal, threshold or exact-MPN evidence"
"02_Power_Conversion","C204","22 uF nominal; >=15 uF effective at 5.25 V; >=16 V X7R; regulator-stable ESR","Capacitor","22 uF nominal; >=15 uF effective at 5.25 V; >=16 V X7R; regulator-stable ESR","","Dependent active-device equation, manufacturer DC-bias curve, stability tool, hot magnetic model, or timing suffix is not yet closed.","U201 LMR38020FSQDDARQ1","QER-01; PPQ-01; PPQ-02 capacitor/magnetic/threshold models","U201 integrated-compensation output-capacitance/ESR solution","MEDIUM - exact active MPN selected; manufacturer tool/curve or prototype evidence remains","BLOCKED - EXACT TOOL/CURVE EVIDENCE REQUIRED","PACS-01R-A - close named manufacturer tool/curve, thermal, threshold or exact-MPN evidence"
"02_Power_Conversion","C205","100 nF soft start","Capacitor","100 nF soft start","","Dependent active-device equation, manufacturer DC-bias curve, stability tool, hot magnetic model, or timing suffix is not yet closed.","U201 LMR38020FSQDDARQ1","QER-01; PPQ-01; PPQ-02 capacitor/magnetic/threshold models","Pin/function reconciliation: selected U201 has internal 4 ms soft start","MEDIUM - exact active MPN selected; manufacturer tool/curve or prototype evidence remains","BLOCKED - EXACT TOOL/CURVE EVIDENCE REQUIRED","PACS-01R-A - close named manufacturer tool/curve, thermal, threshold or exact-MPN evidence"
